station,station_name,valid(UTC),tmpf,dwpf,sknt,drct,vis1_coeff,precip
ATL,ATLANTA INTL ARPT,2015-03-19 05:00,65,36,7,116,0.128,0,
ORD,CHICAGO O HARE,2015-03-19 05:00,40,18,2,178,0.121,0,
DEN,DENVER INTNL ARPT,2015-03-19 05:00,50,43,4,269,0.322,0,
ORD,CHICAGO O HARE,2015-03-19 06:00,40,17,2,82,0.121,0,
ATL,ATLANTA INTL ARPT,2015-03-19 06:00,63,38,6,131,0.142,0,
DEN,DENVER INTNL ARPT,2015-03-19 06:00,47,43,5,324,0.59,0,
LAX,LOS ANGELES INTL,2015-03-19 06:00,62,56,4,195,0.213,0,
DFW,DALLAS/FT WORTH,2015-03-19 06:00,56,53,4,12,0.252,0,
DEN,DENVER INTNL ARPT,2015-03-19 07:00,46,43,10,254,0.643,0,
ORD,CHICAGO O HARE,2015-03-19 07:00,39,18,4,117,0.119,0,
DFW,DALLAS/FT WORTH,2015-03-19 07:00,58,56,4,351,0.276,0,
ATL,ATLANTA INTL ARPT,2015-03-19 07:00,62,42,5,122,0.194,0,
LAX,LOS ANGELES INTL,2015-03-19 07:00,61,55,4,103,0.184,0,
DFW,DALLAS/FT WORTH,2015-03-19 08:00,59,57,3,73,0.272,0,
LAX,LOS ANGELES INTL,2015-03-19 08:00,60,54,4,105,0.172,0,
ORD,CHICAGO O HARE,2015-03-19 08:00,39,19,3,101,0.135,0,
ATL,ATLANTA INTL ARPT,2015-03-19 08:00,57,49,6,90,0.474,0,
DEN,DENVER INTNL ARPT,2015-03-19 08:00,45,42,6,226,0.479,0,
LAX,LOS ANGELES INTL,2015-03-19 09:00,60,54,2,74,0.176,0,
DFW,DALLAS/FT WORTH,2015-03-19 09:00,59,57,3,60,0.28,0,
DEN,DENVER INTNL ARPT,2015-03-19 09:00,45,43,7,328,0.499,0,
ATL,ATLANTA INTL ARPT,2015-03-19 09:00,56,52,6,107,0.463,0,
ORD,CHICAGO O HARE,2015-03-19 09:00,38,25,1,190,0.121,0,
ATL,ATLANTA INTL ARPT,2015-03-19 10:00,55,53,7,101,0.836,0,
LAX,LOS ANGELES INTL,2015-03-19 10:00,59,54,1,50,0.177,0,
DFW,DALLAS/FT WORTH,2015-03-19 10:00,60,57,4,17,0.328,0,
DEN,DENVER INTNL ARPT,2015-03-19 10:00,41,37,11,350,0.21,0,
ORD,CHICAGO O HARE,2015-03-19 10:00,40,19,2,189,0.131,0,
ATL,ATLANTA INTL ARPT,2015-03-19 11:00,56,54,7,126,0.522,0,
LAX,LOS ANGELES INTL,2015-03-19 11:00,60,55,1,57,0.181,0,
DFW,DALLAS/FT WORTH,2015-03-19 11:00,60,57,4,79,0.36,0,
DEN,DENVER INTNL ARPT,2015-03-19 11:00,40,36,9,350,0.323,0,
ORD,CHICAGO O HARE,2015-03-19 11:00,40,18,4,136,0.12,0,
LAX,LOS ANGELES INTL,2015-03-19 12:00,59,54,2,16,0.183,0,
DEN,DENVER INTNL ARPT,2015-03-19 12:00,39,36,6,5,0.317,0.01,
DFW,DALLAS/FT WORTH,2015-03-19 12:00,61,59,5,97,0.437,0,
ORD,CHICAGO O HARE,2015-03-19 12:00,40,17,4,127,0.118,0,
ATL,ATLANTA INTL ARPT,2015-03-19 12:00,57,55,4,134,0.67,0,
ORD,CHICAGO O HARE,2015-03-19 13:00,41,20,8,79,0.132,0,
LAX,LOS ANGELES INTL,2015-03-19 13:00,59,54,3,94,0.196,0,
ATL,ATLANTA INTL ARPT,2015-03-19 13:00,57,56,6,105,0.495,0,
DFW,DALLAS/FT WORTH,2015-03-19 13:00,61,60,5,102,0.569,0,
DEN,DENVER INTNL ARPT,2015-03-19 13:00,39,36,7,347,0.278,0,
ATL,ATLANTA INTL ARPT,2015-03-19 14:00,58,55,8,124,0.523,0.01,
LAX,LOS ANGELES INTL,2015-03-19 14:00,59,54,4,98,0.219,0,
DEN,DENVER INTNL ARPT,2015-03-19 14:00,37,34,8,6,0.201,0,
DFW,DALLAS/FT WORTH,2015-03-19 14:00,61,60,5,126,0.996,0,
ORD,CHICAGO O HARE,2015-03-19 14:00,41,19,12,97,0.094,0,
LAX,LOS ANGELES INTL,2015-03-19 15:00,61,54,4,101,0.198,0,
DFW,DALLAS/FT WORTH,2015-03-19 15:00,61,61,6,127,1.626,0,
ATL,ATLANTA INTL ARPT,2015-03-19 15:00,58,56,9,106,0.506,0,
ORD,CHICAGO O HARE,2015-03-19 15:00,43,20,11,108,0.119,0,
DEN,DENVER INTNL ARPT,2015-03-19 15:00,38,34,5,13,0.225,0,
LAX,LOS ANGELES INTL,2015-03-19 16:00,62,54,2,104,0.192,0,
ORD,CHICAGO O HARE,2015-03-19 16:00,44,15,17,129,0.098,0,
DFW,DALLAS/FT WORTH,2015-03-19 16:00,63,61,6,133,0.606,0,
DEN,DENVER INTNL ARPT,2015-03-19 16:00,40,36,7,20,0.081,0,
ATL,ATLANTA INTL ARPT,2015-03-19 16:00,57,56,6,118,2.127,0,
ATL,ATLANTA INTL ARPT,2015-03-19 17:00,58,55,9,94,1.803,0,
ORD,CHICAGO O HARE,2015-03-19 17:00,44,14,13,114,0.094,0,
DFW,DALLAS/FT WORTH,2015-03-19 17:00,63,61,8,138,0.704,0,
DEN,DENVER INTNL ARPT,2015-03-19 17:00,41,35,4,1,0.073,0,
LAX,LOS ANGELES INTL,2015-03-19 17:00,64,54,2,117,0.186,0,
ORD,CHICAGO O HARE,2015-03-19 18:00,46,13,11,125,0.105,0,
DEN,DENVER INTNL ARPT,2015-03-19 18:00,42,35,3,340,0.076,0,
DFW,DALLAS/FT WORTH,2015-03-19 18:00,67,62,7,117,0.231,0,
ATL,ATLANTA INTL ARPT,2015-03-19 18:00,56,54,11,86,1.546,0,
LAX,LOS ANGELES INTL,2015-03-19 18:00,65,55,5,245,0.214,0,
ATL,ATLANTA INTL ARPT,2015-03-19 19:00,53,51,13,77,1.109,0,
DEN,DENVER INTNL ARPT,2015-03-19 19:00,45,35,4,35,0.07,0,
ORD,CHICAGO O HARE,2015-03-19 19:00,46,16,11,80,0.108,0,
LAX,LOS ANGELES INTL,2015-03-19 19:00,68,55,8,235,0.202,0,
DFW,DALLAS/FT WORTH,2015-03-19 19:00,69,63,7,107,0.226,0,
ATL,ATLANTA INTL ARPT,2015-03-19 20:00,53,50,12,80,0.612,0,
DFW,DALLAS/FT WORTH,2015-03-19 20:00,72,63,5,91,0.229,0,
ORD,CHICAGO O HARE,2015-03-19 20:00,45,15,9,88,0.102,0,
LAX,LOS ANGELES INTL,2015-03-19 20:00,68,56,12,252,0.171,0,
DEN,DENVER INTNL ARPT,2015-03-19 20:00,46,36,6,9,0.071,0,
ORD,CHICAGO O HARE,2015-03-19 21:00,45,16,10,67,0.096,0,
LAX,LOS ANGELES INTL,2015-03-19 21:00,67,55,12,250,0.227,0,
DEN,DENVER INTNL ARPT,2015-03-19 21:00,46,35,3,56,0.067,0,
ATL,ATLANTA INTL ARPT,2015-03-19 21:00,52,50,11,80,0.409,0,
DFW,DALLAS/FT WORTH,2015-03-19 21:00,74,62,10,176,0.063,0,
DEN,DENVER INTNL ARPT,2015-03-19 22:00,46,35,4,158,0.065,0,
DFW,DALLAS/FT WORTH,2015-03-19 22:00,75,61,10,157,0.067,0,
ORD,CHICAGO O HARE,2015-03-19 22:00,44,17,8,62,0.099,0,
ATL,ATLANTA INTL ARPT,2015-03-19 22:00,51,48,11,81,0.431,0,
LAX,LOS ANGELES INTL,2015-03-19 22:00,65,55,15,263,0.171,0,
ATL,ATLANTA INTL ARPT,2015-03-19 23:00,49,46,14,80,0.142,0,
ORD,CHICAGO O HARE,2015-03-19 23:00,42,16,10,78,0.097,0,
LAX,LOS ANGELES INTL,2015-03-19 23:00,66,56,12,252,0.184,0,
DEN,DENVER INTNL ARPT,2015-03-19 23:00,46,35,3,152,0.07,0,
DFW,DALLAS/FT WORTH,2015-03-19 23:00,76,61,9,167,0.057,0,
DEN,DENVER INTNL ARPT,2015-03-20 00:00,47,35,6,198,0.07,0,
DFW,DALLAS/FT WORTH,2015-03-20 00:00,73,61,7,161,0.062,0,
ATL,ATLANTA INTL ARPT,2015-03-20 00:00,49,46,9,81,0.214,0,
LAX,LOS ANGELES INTL,2015-03-20 00:00,65,56,11,248,0.183,0,
ORD,CHICAGO O HARE,2015-03-20 00:00,41,17,9,61,0.097,0,
LAX,LOS ANGELES INTL,2015-03-20 01:00,64,57,13,252,0.2,0,
DFW,DALLAS/FT WORTH,2015-03-20 01:00,69,63,7,89,0.19,0,
ORD,CHICAGO O HARE,2015-03-20 01:00,40,19,5,65,0.101,0,
ATL,ATLANTA INTL ARPT,2015-03-20 01:00,49,46,11,70,0.346,0,
DEN,DENVER INTNL ARPT,2015-03-20 01:00,43,34,8,219,0.075,0,
DFW,DALLAS/FT WORTH,2015-03-20 02:00,68,63,9,95,0.208,0,
ATL,ATLANTA INTL ARPT,2015-03-20 02:00,48,46,12,68,0.405,0,
LAX,LOS ANGELES INTL,2015-03-20 02:00,62,57,10,254,0.287,0,
ORD,CHICAGO O HARE,2015-03-20 02:00,40,19,5,75,0.1,0,
DEN,DENVER INTNL ARPT,2015-03-20 02:00,42,35,9,224,0.097,0,
DEN,DENVER INTNL ARPT,2015-03-20 03:00,41,35,10,222,0.113,0,
ORD,CHICAGO O HARE,2015-03-20 03:00,40,21,6,145,0.103,0,
DFW,DALLAS/FT WORTH,2015-03-20 03:00,64,60,9,58,0.315,0,
ATL,ATLANTA INTL ARPT,2015-03-20 03:00,48,46,10,90,0.565,0,
LAX,LOS ANGELES INTL,2015-03-20 03:00,61,57,10,254,0.704,0,
DFW,DALLAS/FT WORTH,2015-03-20 04:00,62,59,9,16,0.403,0,
LAX,LOS ANGELES INTL,2015-03-20 04:00,61,57,4,226,0.234,0,
ATL,ATLANTA INTL ARPT,2015-03-20 04:00,48,46,9,80,0.782,0,
ORD,CHICAGO O HARE,2015-03-20 04:00,40,23,4,181,0.125,0,
DEN,DENVER INTNL ARPT,2015-03-20 04:00,40,34,10,208,0.107,0,
LAX,LOS ANGELES INTL,2015-03-20 05:00,61,58,3,245,0.226,0,
ORD,CHICAGO O HARE,2015-03-20 05:00,41,29,6,183,0.11,0,
DFW,DALLAS/FT WORTH,2015-03-20 05:00,59,58,10,42,1.084,0,
DEN,DENVER INTNL ARPT,2015-03-20 05:00,38,32,9,193,0.104,0,
ATL,ATLANTA INTL ARPT,2015-03-20 05:00,48,46,10,93,1.345,0,
ATL,ATLANTA INTL ARPT,2015-03-20 06:00,48,46,9,91,0.888,0,
LAX,LOS ANGELES INTL,2015-03-20 06:00,62,57,3,141,0.227,0,
ORD,CHICAGO O HARE,2015-03-20 06:00,40,29,7,184,0.114,0,
DEN,DENVER INTNL ARPT,2015-03-20 06:00,39,32,12,203,0.092,0,
DFW,DALLAS/FT WORTH,2015-03-20 06:00,59,58,8,32,0.538,0,
LAX,LOS ANGELES INTL,2015-03-20 07:00,61,57,1,191,0.239,0,
DFW,DALLAS/FT WORTH,2015-03-20 07:00,60,57,17,356,0.165,0,
ORD,CHICAGO O HARE,2015-03-20 07:00,40,31,4,204,0.134,0,
ATL,ATLANTA INTL ARPT,2015-03-20 07:00,48,46,8,84,1.774,0,
DEN,DENVER INTNL ARPT,2015-03-20 07:00,39,32,13,207,0.088,0,
DFW,DALLAS/FT WORTH,2015-03-20 08:00,57,55,11,25,0.285,0,
ATL,ATLANTA INTL ARPT,2015-03-20 08:00,48,47,5,74,2.151,0,
LAX,LOS ANGELES INTL,2015-03-20 08:00,60,57,4,235,0.313,0,
ORD,CHICAGO O HARE,2015-03-20 08:00,39,31,3,235,0.142,0,
DEN,DENVER INTNL ARPT,2015-03-20 08:00,38,31,11,206,0.087,0,
ATL,ATLANTA INTL ARPT,2015-03-20 09:00,48,46,6,75,1.488,0,
DEN,DENVER INTNL ARPT,2015-03-20 09:00,37,30,12,209,0.084,0,
ORD,CHICAGO O HARE,2015-03-20 09:00,39,32,5,216,0.166,0,
LAX,LOS ANGELES INTL,2015-03-20 09:00,61,57,3,248,0.263,0,
DFW,DALLAS/FT WORTH,2015-03-20 09:00,55,53,11,23,0.142,0,
DFW,DALLAS/FT WORTH,2015-03-20 10:00,56,53,7,3,0.092,0,
DEN,DENVER INTNL ARPT,2015-03-20 10:00,37,30,13,209,0.08,0,
LAX,LOS ANGELES INTL,2015-03-20 10:00,60,57,1,218,0.249,0,
ATL,ATLANTA INTL ARPT,2015-03-20 10:00,48,47,6,80,1.139,0,
ORD,CHICAGO O HARE,2015-03-20 10:00,39,32,3,235,0.2,0,
DEN,DENVER INTNL ARPT,2015-03-20 11:00,36,29,9,217,0.085,0,
ORD,CHICAGO O HARE,2015-03-20 11:00,39,32,4,228,0.229,0,
ATL,ATLANTA INTL ARPT,2015-03-20 11:00,48,47,5,78,3.011,0,
LAX,LOS ANGELES INTL,2015-03-20 11:00,59,57,1,81,0.292,0,
DFW,DALLAS/FT WORTH,2015-03-20 11:00,55,53,14,1,0.662,0,
ORD,CHICAGO O HARE,2015-03-20 12:00,39,33,6,240,0.261,0,
LAX,LOS ANGELES INTL,2015-03-20 12:00,60,57,1,46,0.347,0,
DEN,DENVER INTNL ARPT,2015-03-20 12:00,35,29,8,223,0.081,0,
ATL,ATLANTA INTL ARPT,2015-03-20 12:00,48,47,4,76,3.711,0,
DFW,DALLAS/FT WORTH,2015-03-20 12:00,54,51,13,7,0.054,0,
LAX,LOS ANGELES INTL,2015-03-20 13:00,60,56,4,76,0.413,0,
DEN,DENVER INTNL ARPT,2015-03-20 13:00,37,29,12,211,0.075,0,
ORD,CHICAGO O HARE,2015-03-20 13:00,39,33,5,244,0.299,0,
DFW,DALLAS/FT WORTH,2015-03-20 13:00,54,51,12,11,0.095,0,
ATL,ATLANTA INTL ARPT,2015-03-20 13:00,49,48,4,95,9.935,0,
DEN,DENVER INTNL ARPT,2015-03-20 14:00,40,29,13,219,0.067,0,
ATL,ATLANTA INTL ARPT,2015-03-20 14:00,49,48,2,79,6.008,0,
LAX,LOS ANGELES INTL,2015-03-20 14:00,60,56,3,56,0.371,0,
DFW,DALLAS/FT WORTH,2015-03-20 14:00,54,51,12,356,0.08,0,
ORD,CHICAGO O HARE,2015-03-20 14:00,41,34,6,240,0.278,0,
LAX,LOS ANGELES INTL,2015-03-20 15:00,61,56,4,99,0.351,0,
DFW,DALLAS/FT WORTH,2015-03-20 15:00,54,51,9,40,0.145,0,
DEN,DENVER INTNL ARPT,2015-03-20 15:00,44,30,11,229,0.07,0,
ATL,ATLANTA INTL ARPT,2015-03-20 15:00,51,49,4,113,0.569,0,
ORD,CHICAGO O HARE,2015-03-20 15:00,43,34,9,256,0.228,0,
ATL,ATLANTA INTL ARPT,2015-03-20 16:00,54,51,2,237,0.447,0,
LAX,LOS ANGELES INTL,2015-03-20 16:00,61,56,5,121,0.387,0,
ORD,CHICAGO O HARE,2015-03-20 16:00,45,34,8,243,0.21,0,
DFW,DALLAS/FT WORTH,2015-03-20 16:00,53,51,8,10,0.41,0.01,
DEN,DENVER INTNL ARPT,2015-03-20 16:00,49,32,9,228,0.067,0,
DFW,DALLAS/FT WORTH,2015-03-20 17:00,54,52,11,4,0.118,0,
LAX,LOS ANGELES INTL,2015-03-20 17:00,66,56,3,50,0.384,0,
ATL,ATLANTA INTL ARPT,2015-03-20 17:00,58,52,1,349,0.338,0,
DEN,DENVER INTNL ARPT,2015-03-20 17:00,53,29,6,222,0.066,0,
ORD,CHICAGO O HARE,2015-03-20 17:00,47,34,7,246,0.176,0,
ATL,ATLANTA INTL ARPT,2015-03-20 18:00,62,53,1,61,0.176,0,
ORD,CHICAGO O HARE,2015-03-20 18:00,50,34,11,243,0.17,0,
DEN,DENVER INTNL ARPT,2015-03-20 18:00,57,19,4,294,0.062,0,
DFW,DALLAS/FT WORTH,2015-03-20 18:00,55,53,9,357,0.281,0,
LAX,LOS ANGELES INTL,2015-03-20 18:00,67,57,6,276,0.368,0,
DFW,DALLAS/FT WORTH,2015-03-20 19:00,54,52,10,349,0.389,0,
ATL,ATLANTA INTL ARPT,2015-03-20 19:00,67,56,2,310,0.099,0,
DEN,DENVER INTNL ARPT,2015-03-20 19:00,61,21,2,354,0.053,0,
ORD,CHICAGO O HARE,2015-03-20 19:00,47,34,11,252,0.184,0,
LAX,LOS ANGELES INTL,2015-03-20 19:00,70,57,6,248,0.389,0,
ORD,CHICAGO O HARE,2015-03-20 20:00,48,35,9,228,0.183,0,
DEN,DENVER INTNL ARPT,2015-03-20 20:00,61,22,2,258,0.057,0,
LAX,LOS ANGELES INTL,2015-03-20 20:00,67,57,6,255,0.336,0,
ATL,ATLANTA INTL ARPT,2015-03-20 20:00,68,56,7,274,0.074,0,
DFW,DALLAS/FT WORTH,2015-03-20 20:00,55,52,8,339,0.423,0,
DEN,DENVER INTNL ARPT,2015-03-20 21:00,63,23,,,0.056,0,
DFW,DALLAS/FT WORTH,2015-03-20 21:00,55,52,11,322,0.175,0,
ATL,ATLANTA INTL ARPT,2015-03-20 21:00,67,57,5,290,0.084,0,
ORD,CHICAGO O HARE,2015-03-20 21:00,49,36,12,210,0.203,0,
LAX,LOS ANGELES INTL,2015-03-20 21:00,67,58,9,244,0.321,0,
LAX,LOS ANGELES INTL,2015-03-20 22:00,68,58,14,255,0.229,0,
DEN,DENVER INTNL ARPT,2015-03-20 22:00,62,17,7,125,0.053,0,
ORD,CHICAGO O HARE,2015-03-20 22:00,49,36,11,226,0.198,0,
ATL,ATLANTA INTL ARPT,2015-03-20 22:00,65,58,3,305,0.144,0,
DFW,DALLAS/FT WORTH,2015-03-20 22:00,55,52,6,3,0.476,0,
LAX,LOS ANGELES INTL,2015-03-20 23:00,66,58,16,260,0.278,0,
ORD,CHICAGO O HARE,2015-03-20 23:00,49,36,9,210,0.187,0,
ATL,ATLANTA INTL ARPT,2015-03-20 23:00,64,59,4,289,0.147,0,
DFW,DALLAS/FT WORTH,2015-03-20 23:00,55,52,7,34,0.138,0,
DEN,DENVER INTNL ARPT,2015-03-20 23:00,62,11,6,136,0.054,0,
ORD,CHICAGO O HARE,2015-03-21 00:00,47,36,10,200,0.199,0,
ATL,ATLANTA INTL ARPT,2015-03-21 00:00,63,58,7,326,0.13,0,
DFW,DALLAS/FT WORTH,2015-03-21 00:00,55,52,7,3,0.129,0,
DEN,DENVER INTNL ARPT,2015-03-21 00:00,62,12,3,103,0.054,0,
LAX,LOS ANGELES INTL,2015-03-21 00:00,65,58,11,259,0.216,0,
ATL,ATLANTA INTL ARPT,2015-03-21 01:00,61,56,6,325,0.152,0,
DEN,DENVER INTNL ARPT,2015-03-21 01:00,58,15,4,148,0.064,0,
DFW,DALLAS/FT WORTH,2015-03-21 01:00,55,53,7,355,0.13,0,
LAX,LOS ANGELES INTL,2015-03-21 01:00,63,57,12,264,0.204,0,
ORD,CHICAGO O HARE,2015-03-21 01:00,46,37,9,200,0.238,0,
ATL,ATLANTA INTL ARPT,2015-03-21 02:00,61,56,5,337,0.177,0,
DFW,DALLAS/FT WORTH,2015-03-21 02:00,55,53,6,340,0.175,0,
ORD,CHICAGO O HARE,2015-03-21 02:00,44,37,11,215,0.246,0,
DEN,DENVER INTNL ARPT,2015-03-21 02:00,56,18,3,68,0.051,0,
LAX,LOS ANGELES INTL,2015-03-21 02:00,62,57,12,266,0.204,0,
ORD,CHICAGO O HARE,2015-03-21 03:00,42,36,10,222,0.259,0,
ATL,ATLANTA INTL ARPT,2015-03-21 03:00,59,55,5,315,0.239,0,
DEN,DENVER INTNL ARPT,2015-03-21 03:00,48,23,5,145,0.05,0,
DFW,DALLAS/FT WORTH,2015-03-21 03:00,55,53,6,321,0.129,0,
LAX,LOS ANGELES INTL,2015-03-21 03:00,61,58,9,257,0.294,0,
ATL,ATLANTA INTL ARPT,2015-03-21 04:00,58,54,7,331,0.232,0,
ORD,CHICAGO O HARE,2015-03-21 04:00,40,36,8,228,0.364,0,
DFW,DALLAS/FT WORTH,2015-03-21 04:00,55,53,1,317,0.129,0,
DEN,DENVER INTNL ARPT,2015-03-21 04:00,45,23,8,167,0.061,0,
LAX,LOS ANGELES INTL,2015-03-21 04:00,61,59,8,255,0.255,0,
DFW,DALLAS/FT WORTH,2015-03-21 05:00,54,52,3,164,0.157,0,
LAX,LOS ANGELES INTL,2015-03-21 05:00,61,59,6,230,0.282,0,
ORD,CHICAGO O HARE,2015-03-21 05:00,39,35,11,216,0.479,0,
ATL,ATLANTA INTL ARPT,2015-03-21 05:00,57,54,4,331,0.282,0,
DEN,DENVER INTNL ARPT,2015-03-21 05:00,41,25,7,188,0.063,0,
DEN,DENVER INTNL ARPT,2015-03-21 06:00,44,29,10,206,0.065,0,
LAX,LOS ANGELES INTL,2015-03-21 06:00,61,59,6,244,0.293,0,
ORD,CHICAGO O HARE,2015-03-21 06:00,39,36,9,215,0.524,0,
DFW,DALLAS/FT WORTH,2015-03-21 06:00,55,53,2,228,0.13,0,
ATL,ATLANTA INTL ARPT,2015-03-21 06:00,57,54,4,317,0.272,0,
DEN,DENVER INTNL ARPT,2015-03-21 07:00,37,29,7,193,0.066,0,
ATL,ATLANTA INTL ARPT,2015-03-21 07:00,57,55,2,281,0.285,0,
ORD,CHICAGO O HARE,2015-03-21 07:00,40,36,9,223,0.461,0,
DFW,DALLAS/FT WORTH,2015-03-21 07:00,55,52,6,315,0.122,0,
LAX,LOS ANGELES INTL,2015-03-21 07:00,61,58,3,246,0.251,0,
LAX,LOS ANGELES INTL,2015-03-21 08:00,61,58,2,134,0.254,0,
DFW,DALLAS/FT WORTH,2015-03-21 08:00,54,51,9,329,0.089,0,
ORD,CHICAGO O HARE,2015-03-21 08:00,39,36,10,221,0.496,0,
ATL,ATLANTA INTL ARPT,2015-03-21 08:00,57,55,3,266,0.303,0,
DEN,DENVER INTNL ARPT,2015-03-21 08:00,36,28,8,196,0.062,0,
DEN,DENVER INTNL ARPT,2015-03-21 09:00,42,27,9,209,0.06,0,
ATL,ATLANTA INTL ARPT,2015-03-21 09:00,58,54,5,338,0.245,0,
LAX,LOS ANGELES INTL,2015-03-21 09:00,61,58,1,95,0.29,0,
DFW,DALLAS/FT WORTH,2015-03-21 09:00,54,51,5,357,0.078,0,
ORD,CHICAGO O HARE,2015-03-21 09:00,39,36,7,231,0.542,0,
ORD,CHICAGO O HARE,2015-03-21 10:00,38,36,8,246,0.526,0,
ATL,ATLANTA INTL ARPT,2015-03-21 10:00,57,52,8,326,0.226,0,
LAX,LOS ANGELES INTL,2015-03-21 10:00,60,57,4,75,0.32,0,
DFW,DALLAS/FT WORTH,2015-03-21 10:00,54,51,3,342,0.092,0,
DEN,DENVER INTNL ARPT,2015-03-21 10:00,41,27,11,225,0.062,0,
ATL,ATLANTA INTL ARPT,2015-03-21 11:00,56,51,12,341,0.182,0,
DFW,DALLAS/FT WORTH,2015-03-21 11:00,54,51,5,318,0.096,0,
ORD,CHICAGO O HARE,2015-03-21 11:00,37,35,7,269,0.621,0,
DEN,DENVER INTNL ARPT,2015-03-21 11:00,40,27,12,222,0.064,0,
LAX,LOS ANGELES INTL,2015-03-21 11:00,61,56,4,86,0.308,0,
ATL,ATLANTA INTL ARPT,2015-03-21 12:00,56,50,8,325,0.138,0,
LAX,LOS ANGELES INTL,2015-03-21 12:00,61,56,3,95,0.263,0,
DEN,DENVER INTNL ARPT,2015-03-21 12:00,41,24,12,215,0.06,0,
DFW,DALLAS/FT WORTH,2015-03-21 12:00,54,51,5,346,0.096,0,
ORD,CHICAGO O HARE,2015-03-21 12:00,37,35,7,300,0.54,0,
ATL,ATLANTA INTL ARPT,2015-03-21 13:00,55,49,11,339,0.099,0,
DFW,DALLAS/FT WORTH,2015-03-21 13:00,53,51,4,340,0.103,0,
LAX,LOS ANGELES INTL,2015-03-21 13:00,61,56,3,152,0.271,0,
ORD,CHICAGO O HARE,2015-03-21 13:00,41,36,8,330,0.333,0,
DEN,DENVER INTNL ARPT,2015-03-21 13:00,39,25,9,226,0.061,0,
DEN,DENVER INTNL ARPT,2015-03-21 14:00,44,24,13,214,0.06,0,
DFW,DALLAS/FT WORTH,2015-03-21 14:00,54,51,4,340,0.097,0,
ORD,CHICAGO O HARE,2015-03-21 14:00,45,37,15,352,0.168,0,
LAX,LOS ANGELES INTL,2015-03-21 14:00,61,55,3,76,0.251,0,
ATL,ATLANTA INTL ARPT,2015-03-21 14:00,55,47,9,2,0.074,0,
LAX,LOS ANGELES INTL,2015-03-21 15:00,62,55,3,87,0.257,0,
DFW,DALLAS/FT WORTH,2015-03-21 15:00,55,50,6,1,0.105,0,
DEN,DENVER INTNL ARPT,2015-03-21 15:00,49,26,13,221,0.054,0,
ATL,ATLANTA INTL ARPT,2015-03-21 15:00,58,48,3,314,0.085,0,
ORD,CHICAGO O HARE,2015-03-21 15:00,47,35,16,354,0.124,0,
LAX,LOS ANGELES INTL,2015-03-21 16:00,62,55,3,85,0.287,0,
ORD,CHICAGO O HARE,2015-03-21 16:00,48,34,11,5,0.106,0,
ATL,ATLANTA INTL ARPT,2015-03-21 16:00,61,48,2,306,0.071,0,
DFW,DALLAS/FT WORTH,2015-03-21 16:00,56,51,6,5,0.117,0,
DEN,DENVER INTNL ARPT,2015-03-21 16:00,55,26,8,225,0.057,0,
DFW,DALLAS/FT WORTH,2015-03-21 17:00,57,53,6,6,0.189,0,
ORD,CHICAGO O HARE,2015-03-21 17:00,46,33,10,55,0.094,0,
DEN,DENVER INTNL ARPT,2015-03-21 17:00,60,23,5,217,0.054,0,
LAX,LOS ANGELES INTL,2015-03-21 17:00,63,55,5,151,0.271,0,
ATL,ATLANTA INTL ARPT,2015-03-21 17:00,65,47,4,235,0.074,0,
LAX,LOS ANGELES INTL,2015-03-21 18:00,64,55,5,115,0.27,0,
DEN,DENVER INTNL ARPT,2015-03-21 18:00,64,18,4,227,0.058,0,
ATL,ATLANTA INTL ARPT,2015-03-21 18:00,67,45,3,287,0.061,0,
DFW,DALLAS/FT WORTH,2015-03-21 18:00,59,55,5,62,0.166,0,
ORD,CHICAGO O HARE,2015-03-21 18:00,47,32,9,75,0.089,0,
DFW,DALLAS/FT WORTH,2015-03-21 19:00,61,56,6,45,0.169,0,
ORD,CHICAGO O HARE,2015-03-21 19:00,46,31,11,55,0.088,0,
LAX,LOS ANGELES INTL,2015-03-21 19:00,68,55,3,230,0.219,0,
ATL,ATLANTA INTL ARPT,2015-03-21 19:00,73,46,4,291,0.064,0,
DEN,DENVER INTNL ARPT,2015-03-21 19:00,67,15,6,239,0.052,0,
ATL,ATLANTA INTL ARPT,2015-03-21 20:00,70,42,4,333,0.059,0,
DEN,DENVER INTNL ARPT,2015-03-21 20:00,68,11,10,137,0.05,0,
DFW,DALLAS/FT WORTH,2015-03-21 20:00,63,56,6,40,0.15,0,
LAX,LOS ANGELES INTL,2015-03-21 20:00,67,56,9,238,0.166,0,
ORD,CHICAGO O HARE,2015-03-21 20:00,45,29,8,47,0.097,0,
LAX,LOS ANGELES INTL,2015-03-21 21:00,67,56,8,238,0.166,0,
ORD,CHICAGO O HARE,2015-03-21 21:00,44,29,12,76,0.092,0,
ATL,ATLANTA INTL ARPT,2015-03-21 21:00,69,44,7,284,0.068,0,
DEN,DENVER INTNL ARPT,2015-03-21 21:00,69,11,6,102,0.053,0,
DFW,DALLAS/FT WORTH,2015-03-21 21:00,62,55,4,345,0.125,0,
DEN,DENVER INTNL ARPT,2015-03-21 22:00,69,12,9,165,0.057,0,
LAX,LOS ANGELES INTL,2015-03-21 22:00,67,55,10,256,0.166,0,
ORD,CHICAGO O HARE,2015-03-21 22:00,42,27,10,66,0.095,0,
ATL,ATLANTA INTL ARPT,2015-03-21 22:00,69,44,6,297,0.067,0,
